movie_name,total_order
Hanuman Da Damdaar,164
31st october,640
kaabil,148835
Guru,8814
Badrinath Ki Dulhania,181637
Machine,1019
jack reacher: never go back,24247
miss peregrine s home peculiar children,4
Manasu Malligey,8
Kirik Party,24
photo copy,168
Cheliyaa,1929
Running Shaadi,3150
devi,8
Cars 3,4155
akira,1226
Wonder Woman,10299
chapekar brothers,51
sathamaanam bhavathi,12
Dwaraka,2080
Mom,9651
the legend of tarzan,4
the girl on the train,2798
robinson crusoe,4
eedu gold ehe,324
naruda donoruda,2512
force 2,161445
Baghtos Kay Mujra Kar,3076
happy bhag jayegi,1088
resident evil:final chapter,1040
the shallows,1434
Raabta,3915
Dangal,1552
Fidaa,208
passengers,36255
The Great Wall,1128
doctor strange,324405
vangaveeti,4
chaar sahibzaade,1104
sultan,116
achcham yenbadhu madamaiyada,36
ishq junoon,312
saansein,208
The Angry Birds Movie,8
ae dil hai mushkil,152036
Yaman,3432
Smurfs: The Lost Village,1604
Rarandoi Veduka Chudham,4
koditta idangalai nirappuga,20
sahasame swasaga sagipo,36
and jara hatke,4
Kavan,1872
Behen Hogi Teri,478
startrek beyond,4
Guardians Of The Galaxy Vol. 2,7034
Jagga Jasoos,11590
don't breathe,12046
double feluda,72
zhala bobhata,1844
parched,2140
the light between oceans,4
inkokkadu,1568
Spider-Man: Homecoming,13345
Jackie,164
mechanic resurrection,8
King Arthur : Legend Of The Sword,892
abhinetri,936
coffee with d,937
wah taj,16
the accountant,14116
days of tafree,1420
kirik party,36
Mubarakan,3426
Bank Chor,310
saat uchakkey,68
John Wick 2,20970
udta punjab,32
ben-hur,24
the magnificent seven,4340
Patriots Day,638
Guardians The Superheroes,1423
Alien : Covenant,740
bhetaludu,12524
Hind Ka Napak Ko Jawab-Msg-Lion Heart-2,180
fantastic beasts,1100
the great wall,11820
motu patlu - king of kings,1034
Before I Fall,104
Transformers: The Last Knight,1815
trolls,2344
Jab We Met,300
Udta Punjab,100
Hindi Medium,20919
tum bin 2,14208
Kittu Unnadu Jagratha,4835
Raajakumara,8
Dobaara: See Your Evil,818
rogue one: a star wars story,81097
andaz apna apna,16
Beauty And The Beast,62173
freaky ali,7997
Sachin: A Billion Dreams,17196
dhruva,100837
